Expt'l Mr (Da)	I	RT
25868.9784	3303	41.5
10939.8218	3302	12.5
30052.8238	3301	37.5
35980.0059	3294	27.5
30951.7599	3291	28
27948.6975	3281	37.5
20630.1668	3275	33
14178.4218	3275	38
15710.6241	3269	20
30003.0189	3268	30
32996.2309	3262	44
15664.6443	3255	20
21841.9464	3255	22.5
14178.425	3245	38.5
32911.6626	3239	32
13666.6591	3231	25
15409.3455	3224	29.5
34580.3607	3215	24.5
8609.4804	3211	26
20761.1667	3209	21
11314.3798	3204	30.5
17624.0386	3202	15
32655.7756	3200	32
20925.3842	3193	36
12913.1941	3178	26
18721.3635	3170	37
32827.227	3164	40.5
9418.1837	3160	11
12912.687	3137	26
21909.8931	3136	35.5
21860.9333	3135	22.5
24908.1518	3127	43.5
26211.3641	3125	29
18823.2801	3125	37.5
20205.4409	3117	30.5
21992.8624	3112	34.5
6228.5066	3108	37.5
26269.4915	3099	40
10143.283	3093	19
15394.7528	3091	26.5
26398.515	3091	40.5
17095.8656	3089	33.5
8595.3759	3085	37
43657.8601	3083	35
9877.5383	3082	36.5
23745.1256	3080	37
18490.4644	3079	34
11395.3745	3068	31.5
27966.6805	3068	37
8594.8715	3047	37
9297.999	3046	11.5
32842.6619	3042	32
10439.0701	3039	15
10412.945	3037	22
11314.3602	3028	30
33972.812	3028	41.5
21490.0517	3023	25
17121.864	3019	33.5
41635.7579	3018	40
7528.792	3017	19.5
13454.5239	3017	30.5
11375.3805	3015	31.5
13781.5127	3012	28.5
22683.0048	3008	21.5
12228.7491	3006	22.5
27998.7343	2998	31
8152.0176	2994	27
11361.3816	2990	31.5
37515.9271	2989	38.5
11194.9951	2988	23
32257.7305	2983	42
27650.5495	2979	37
17269.3321	2972	41.5
12032.3818	2967	31
10451.9256	2965	22
17171.7216	2965	36
15755.6521	2964	19
22433.4391	2962	30.5
13153.4336	2955	21.5
21771.872	2955	35
17269.6633	2955	41.5
24110.7164	2950	31
25868.4788	2949	41
13911.801	2947	31.5
21454.9731	2943	39
17270.6873	2938	36.5
17208.7105	2938	37
25872.3286	2936	26
22759.4458	2933	32.5
27150.2137	2929	37.5
30990.7399	2928	27.5
27633.5488	2921	37.5
6738.4898	2921	40
12343.7877	2919	14.5
20131.1281	2919	29
10412.4479	2918	22
33778.3263	2910	30
30893.787	2890	28.5
25868.9765	2890	41
17680.8208	2889	29.5
9877.0363	2889	36.5
24098.7102	2888	31
7004.4604	2885	31
14197.7936	2877	22
33078.2011	2874	41.5
8151.5104	2859	27
9165.495	2850	21.5
9344.7007	2843	38.5
32781.6836	2842	32
22473.4321	2835	30
33698.1359	2828	36.5
14172.7926	2826	22
37074.6073	2822	41
49099.446	2805	40
17002.1386	2803	26
14101.8366	2798	31
15445.9038	2780	27.5
10451.4264	2776	22
13188.4119	2772	20.5
17024.9285	2769	33.5
18659.3624	2764	37.5
18688.3752	2764	41
21925.9141	2762	33
22007.2484	2762	34
9344.2056	2759	38.5
32825.6641	2754	32.5
21482.8611	2754	37
22678.495	2735	32
13635.1953	2732	29
9355.1987	2732	37.5
20403.1385	2726	36.5
7004.9638	2720	31
14068.8612	2715	31
20649.1621	2714	33.5
15117.9016	2714	36
9355.1951	2712	38
33027.243	2712	41.5
9257.0046	2708	12
21715.8566	2699	34.5
16435.8077	2697	32.5
36032.9602	2692	28
25825.3358	2687	25
18404.4552	2687	32.5
17237.7206	2684	35.5
20715.3547	2684	36.5
14787.0263	2681	25
20906.9421	2676	40
22463.5252	2673	30.5
14117.8635	2668	31.5
11309.0836	2667	22
